DESCRIPCION,2010,2011,2012,2013,2014
PRODUCTO INTERNO BRUTO (a precios de mercado),32585680,34281469,36037460,38486570,40588156
Derechos S/Importaciones  IVA n.d. IT y otros Impuestos Indirectos,3200263,3600023,4009019,4436533,4837661
PRODUCTO INTERNO BRUTO (a precios básicos),29385416,30681446,32028441,34050036,35750495
A. INDUSTRIAS,26309050,27421815,28582518,30285672,31720623
AGRICULTURA SILVICULTURA CAZA Y PESCA,4121359,4247302,4423541,4630790,4807689
Productos Agrícolas no Industriales,1839176,1876392,1917792,1972558,2033678
Productos Agrícolas Industriales,651985,698076,767562,850795,896136
Coca,45007,46408,47732,48134,48175
Productos Pecuarios,1278535,1315319,1369730,1428442,1493001
Silvicultura  Caza y Pesca,306656,311107,320725,330861,336699
EXTRACCIÓN DE MINAS Y CANTERAS,3974572,4182006,4386908,4780411,5060137
Petróleo Crudo y Gas Natural,1959957,2099638,2408062,2744445,2901823
Minerales Metálicos y no Metálicos,2014615,2082368,1978845,2035965,2158315
INDUSTRIAS MANUFACTURERAS,5493991,5695896,5966185,6329243,6584447
Alimentos Bebidas y Tabaco,2884663,2996100,3173402,3301537,3385075
Otras Industrias,2609328,2699796,2792783,3027706,3199372
ELECTRICIDAD GAS Y AGUA,660131,708474,749723,788087,838583
CONSTRUCCIÓN Y OBRAS PÚBLICAS,1132402,1222726,1320822,1461405,1575520
COMERCIO,2671878,2767963,2872482,2985273,3100796
TRANSPORTE ALMACENAMIENTO Y COMUNICACIONES,3636570,3857962,3962361,4227309,4439431
ESTABLECIMIENTOS FINANCIEROS SEGUROS BIENES INMUEBLES Y SERVICIOS PRESTADOS A LAS EMPRESAS,3756976,3889511,4276055,4567921,4840657
Servicios Financieros,1260259,1333718,1641246,1843126,2012584
Servicios a las Empresas,1118884,1152399,1190367,1236068,1284299
Propiedad de Vivienda,1377834,1403394,1444442,1488727,1543774
SERVICIOS COMUNALES SOCIALES Y PERSONALES,1183351,1215230,1258888,1299341,1342310
RESTAURANTES Y HOTELES,851102,876528,905982,935971,972865
SERVICIOS BANCARIOS IMPUTADOS,-1173282,-1241785,-1540430,-1720078,-1841812
SERVICIOS DE LAS ADMINISTRACIONES PÚBLICAS,2932473,3112479,3294816,3609057,3858563
SERVICIO DOMESTICO,143894,147152,151107,155307,171309
